id,English,Chinese (Traditional),Chinese (Simplified),Vietnamese
A_Gem,Gem,寶石,宝石,ジェム,보석,Gema,Juwel,Joia,Gemme,Самоцвет,Klejnot,جواهر,الأحجار الكريمة,อัญมณี,Đá
A_coin,Coin,金幣,金币,コイン,코인,Moneda,Münze,Moeda,or,Монета,moneta,سکه,عملة,เหรียญ,Vàng
A_critical,Critical,致命一擊,致命一击,クリティカル,치명타,Crítico,Kritisch,Crítico,critique,Крит.,krytyczny,مهلک,ضربة قاتلة,ค ริ ติ คอล,Đòn Chí Mạng
A_pet_atk,Pet atk,寵物攻擊力,宠物攻击力,ペット攻撃力,펫 공격력,Ataque de mascota,Haustier-Schaden,Ataque de animal de estimação,atq familier,АТК питомца,Atak zwierzaka,حمله پت,هجوم الحيوانات الأليفة,พลัง โจมตี สัตว์ เลี้ยง,Tấn công Pet
A_pet_hp,Pet hp,寵物生命值,宠物生命值,ペット体力,펫 체력,Vida de mascota,Haustier-Leben,Pontos de vida para animal de estimação,vie familier,HP питомца,Życie zwierzaka,HP پت,القوة الصحية للحيوانات الأليفة,พลัง ชีวิต สัตว์ เลี้ยง,HP Pet
A_speed,Speed,移動速度,移动速度,すばやさ,이동 속도,Velocidad,Geschwindigkeit,Velocidade,vitesse,Скорость,Szybkość,سرعت,السرعة,ความเร็ว,Tốc độ di chuyển
App_Name,Soul Knight,元氣騎士,元气骑士,Soul Knight,Soul Knight,Soul Knight,Soul Knight,Soul Knight,Soul Knight,Soul Knight,Soul Knight,Soul Knight,Soul Knight,Soul Knight,Kỵ Sĩ Nguyên Khí
App_Name,English,en-US,,Chinese (Traditional),zh-TW,,Chinese (Simplified),zh-CN,,Japanese,ja,,Korean,ko,
Buf_info_2123,Number of plants increases in Rosemary Island.,迷迭島中的植物數量增加。,迷迭岛中的植物数量增加。,ローズマリー島内の植物の数が増加する。,로즈메리 섬에서 식물의 수가 증가합니다.,Aumenta la cantidad de plantas en la Isla Romero.,Mehr Pflanzen auf der Rosmarininsel.,A quantidade de plantas aumenta na Ilha do Alecrim.,Le nombre de plantes de l'île Rosemary augmente.,Увеличение количества растений на острове Розмарин.,Liczba roślin na wyspie Rosemary wzrasta.,تعداد گیاهان در «جزیره رزماری» افزایش می‌یابد.,تزيد أعداد النباتات في جزيرة روزماري.,เพิ่ม จำนวน พืช ใน เกาะ โรส แมรี่,Tăng số lượng thực vật trong Đảo Thất Lạc.
Buff_info_00,Critical hit bullets can pierce enemies,子彈暴擊會穿透敵人,子弹暴击会穿透敌人,クリティカルヒット時、弾が敵を貫通するようになる,치명타 탄두가 적을 뚫게 됩니다,Las balas de golpe crítico pueden atravesar a los enemigos,Kritische Trefferkugeln können Feinde durchbohren,As balas de impacto crítico podem perfurar os inimigos,Les balles critiques transpercent les ennemis,Критический урон от пуль может пробить броню врага,Krytyczne pociski mogą przebić wrogów,گلوله های مهلک دشمن رو سوراخ میکنن.,يمكن للرصاص القاتل أن يخترق الأعداء.,กระ สุ นคริ ติ คอ ล สามารถ เจาะ ทะลวง ศัตรู ได้,Đạn bạo kích sẽ xuyên qua địch
Buff_info_01,Increase the beam width of optoelectronic weapons and grant immunity to electro-charged damage.,增強光電類武器寬度，並免疫感電傷害,增强光电类武器宽度，并免疫感电伤害,光電子系武器の攻撃範囲が広くなり、帯電ダメージを無効化する。,광전자 무기의 광선 폭이 증가하고 전기 대미지에 면역됩니다.,Aumenta el ancho del rayo de las armas optoelectrónicas y otorga inmunidad al daño electrocargado.,Erhöht die Strahlbreite optoelektronischer Waffen und gewährt Immunität gegen Elektroschaden.,Aumenta a largura do feixe das armas optoeletrônicas e concede imunidade a dano com carga elétrica.,Augmente la largeur du faisceau des armes optoélectroniques et immunise contre les dégâts chargés d'électricité.,Увеличение области атаки оптоэлектронного оружия и получение иммунитета к урону от электрических зарядов.,Zwiększa szerokość wiązki broni optoelektronicznej i zapewnia niewrażliwość na obrażenia o typie elektrycznym.,پهنای زوایه​ای سلاح​های اپتوالکترونیک را افزایش دهید و در برابر صدمات الکتریکی ایمنی ایجاد کنید.,زيادة عرض شعاع الأسلحة الكهروضوئية، وإضافة المزيد من الحماية ضد ضرر الشحن الكهربائي.,เพิ่ม ความ กว้าง ลำแสง ของ อาวุธ ออ ป โต อิเล็กทรอนิกส์ และ มอบ ความ ต้านทาน ต่อ ความ เสีย หาย จาก ไฟ ฟ้า ช็อต,Tăng độ rộng vũ khí dạng quang điện và miễn sát thương điện cảm
Buff_info_02,Increase the number of bullets of shotguns,增加散彈槍的子彈數量,增加散弹枪的子弹数量,ショットガンの弾数を増やす,산탄총의 산탄 수가 증가합니다,Aumenta la cantidad de balas de escopetas,Die Anzahl der Kugeln von Schrotflinten erhöhen,Aumenta a quantidade de balas de espingarda,Augmente le nombre de balles des fusils de chasse,Увеличение количества пуль для дробовика,Zwiększa liczbę pocisków wystrzeliwanych ze strzelby,افزایش تعداد گلوله های شاتگان,زيادة عدد طلقات بنادق الصيد,เพิ่ม จำนวน กระสุน ของ ปืน ลูกซอง,Tăng số lượng đạn của Súng Ngắn
Buff_info_03,Melee weapons can bounce bullets,使用近戰武器反彈子彈,使用近战武器反弹子弹,近接武器で敵弾を反射させることが可能になる,근접무기로 총알을 튕겨낼 수 있게 됩니다,Las armas cuerpo a cuerpo pueden repeler balas,Nahkampfwaffen können Kugeln zurückprallen lassen,Armas brancas podem rebater balas,Fait rebondir les balles en utilisant les armes de mêlée,Оружие ближнего боя может отразить пули,Broń biała może odbijać pociski,سلاح های سرد میتونن گلوله پرتاب کنن,يمكن لأسلحة المشاجرة أن تصد الرصاص,อาวุธ ประชิด สามารถ ตี กระสุน กลับ ไป ได้,Dùng vũ khí cận chiến phản xạ đạn
Buff_info_04,Shorter charge time for weapons that require charging,蓄力武器蓄力加快,蓄力武器蓄力加快,チャージが必要な武器のチャージ時間が短くなる,차징무기의 차징속도가 빨라집니다,Se reduce el tiempo de carga de las armas que requieren de carga,"Schnellere Ladezeit der Waffen, die eine Ladenzeit haben",Tempo de carga mais rápido para armas que necessitam de carregar,Recharge plus rapidement les armes nécessitant un chargement,"Ускорение зарядки оружия, требующего зарядки","Szybszy czas przeładowania broni, które wymagają ładowania",کاهش زمان شارژ سلاحی که نیاز به شارژ داره,وقت شحن أقصر للأسلحة التي تتطلب الشحن,เวลา ชาร์จ สั้น ลง สำหรับ อาวุธ ที่ ต้อง ชาร์จ,Vũ khí tụ lực tốc độ tụ lực tăng
Buff_info_05,No extra damage is taken when armor is depleted.,護甲被破壞時將不受到額外傷害,护甲被破坏时将不受到额外伤害,アーマーが消耗しても追加ダメージを受けない。,아머가 모두 고갈되어도 추가 대미지를 입지 않습니다.,"Cuando la armadura se agota, no se recibe daño adicional.","Es wird kein zusätzlicher Schaden erlitten, wenn die Rüstung verbraucht ist.",Nenhum dano extra é recebido quando a armadura está esgotada.,Aucun dégât supplémentaire n'est infligé lorsque l'armure est épuisée.,После истощения брони ты не получаешь доп. урон.,Brak dodatkowych obrażeń po wyczerpaniu pancerza.,,,ไม่ ได้ รับ ความ เสีย หาย เพิ่ม เติม เมื่อ เกราะ หมด ลง,Khi Hộ Giáp bị phá hủy sẽ không chịu thêm DMG.
Buff_info_06,"Immune to traps, and immune to collision damage",免疫陷阱，免疫碰撞傷害,免疫陷阱，免疫碰撞伤害,タックル系の攻撃のダメージを軽減し、トラップダメージを受けなくなる,"면역 함정, 충돌 피해에 면역",Inmune a las trampas y al daño por colisión,Immun gegen Fallen und immun gegen Kollisionsschaden,Imunidade a armadilhas e a dano de colisão,"Immunité aux pièges, protège des dégâts de collision","Иммунитет к ловушкам, устойчивость к урону при столкновении",Nieczuły na pułapki i na obrażenia spowodowane kolizją,ایمنی مقابل تله ها و صدمات ناشی از برخورد,مُحصَّن ضد الفخاخ، ومحصن ضد أضرار الاصطدام,ทนทาน ต่อ กับ ดัก และ ทนทาน ต่อ ความ เสีย หาย จาก การ ปะทะ,"Miễn dịch bẫy, miễn dịch DMG va chạm"
Buff_info_07,"Immune to poison gas and slow effect, increase poison damage to monsters",免疫毒氣及減速，對敵人中毒傷害提升,免疫毒气及减速，对敌人中毒伤害提升,ガスと鈍足トラップの影響を受けなくなり、敵に与える毒のダメージが増加する,"독가스와 감속효과에 면역을 갖고, 몬스터에 대한 독 데미지가 증가합니다.",Inmune al gas venenoso y al efecto de ralentización; aumenta el daño por envenenamiento causado a los monstruos,"Immun gegen Giftgaß und Verlangsamungseffekte, erhöhter Giftschaden gegen Monster",Imunidade a gás venenoso e efeitos de lentidão. Aumenta o dano por fogo causado aos inimigos,Immunité au poison et aux plaque de réduction de vitesse,"Иммунитет к токсичным газам и замедлению, увеличение урона от яда врагам","Odporność na trujący gaz i efekt spowolnienia, zwiększenie obrażeń potworom",ایمنی مقابل گاز سمی و اثر آهستگی، افزایش آسیب سمی به هیولاها,محصن ضد الغاز السام والتأثير البطيء، يزيد من ضرر السموم على الوحوش.,ทนทาน ต่อ ก๊าซ พิษ และ เอฟเฟกต์ ชะลอ ความเร็ว เพิ่ม ความ เสีย หาย ของ พิษ ต่อ มอน ส เตอร์,"Miễn dịch khí độc và giảm tốc, DMG trúng độc gây cho địch tăng"
Buff_info_08,"Immune to fire, decrease explosion damage and increase fire damage to monsters",降低爆炸傷害並免疫火焰，對敵人火焰傷害提升,降低爆炸伤害并免疫火焰，对敌人火焰伤害提升,爆発で受けるダメージを減らし、炎のダメージを無効化する。敵に与える火炎ダメージが増加する,"화염에 면역을 갖고, 폭발로부터 적은 피해를 받으며 몬스터에 대한 화염 데미지가 증가합니다","Inmune al fuego, disminuye el daño por explosión y aumenta el daño de fuego que se causa a los monstruos","Immun gegen Feuer und verminderter Explosionsschaden, erhöhter Feuerschaden gegen Monster",Imunidade a fogo. Reduz o dano causado pelos inimigos e aumenta o dano por fogo causado aos monstros,"Immunité au feu, moins de dommages d'explosion et plus de dommages de feu contre les monstres","Иммунитет к огню и взрывам, увеличение урона от огня врагам","Odporność na ogień i zmniejszenie obrażeń od eksplozji, zwiększenie obrażeń od ognia potworom",ایمنی مقابل آتش، کاهش آسیب انفجار و افزایش آسیب آتش به هیولاها,محصن ضد الحريق، يقلل من أضرار الانفجار ويزيد من الأضرار الحارقة للوحوش.,ทนทาน ต่อ ไฟ ลด ความ เสีย หาย จาก การ ระเบิด และ เพิ่ม ความ เสีย หาย จาก ไฟ ต่อ มอน ส เตอร์,"Giảm DMG nổ và miễn dịch lửa, DMG lửa gây cho địch tăng"
Buff_info_09,50% off in store,商店打5折,商店打5折,ショップのアイテムを５割引の価格で購入できる,상점가 50% 할인,50 % de descuento en la tienda,50% Rabatt im Laden,50% de desconto na loja,50% de réduction en magasin,Скидка в 50% в магазине,50% zniżki w sklepie,قیمت فروشگاه پایین‌تر,أقل سعر في المتجر,ลด 50% ใน ร้าน ค้า,Shop giảm giá 50%
Buff_info_10,Enemies have a chance to drop health orbs when defeated.,擊敗敵人將有概率掉落生命球,击败敌人将有概率掉落生命球,敵を倒すと、一定の確率でHPオーブをドロップする。,적을 쓰러트리면 일정 확률로 체력 오브를 얻습니다.,Hay una probabilidad de que los enemigos suelten orbes de vida cuando los eliminan.,"Es besteht die Chance, dass Gegner LP-Kugeln fallen lassen, wenn sie besiegt werden.",Os inimigos têm chance de deixar orbes de vida quando derrotados.,Les ennemis ont une chance de laisser tomber des orbes de santé lorsqu'ils sont vaincus.,С побежденных врагов могут выпадать сферы здоровья.,"Istnieje szansa, że pokonani wrogowie zostawią sfery zdrowia.",این احتمال وجود دارد که دشمنان در صورت شکست، گوی‌های سلامت رها کنند‎.,الأعداء لديهم فرصة لإسقاط كرات الصحة عند هزيمتهم.,ศัตรู มี โอ กา สด รอ ปลูก แก้ว พลัง ชีวิต เมื่อ ถูก สังหาร,Đánh bại địch sẽ có tỷ lệ rớt Cầu HP
